,potential,value_eur,wage_eur,age,height_cm,weight_kg,weak_foot,skill_moves,pace,shooting,passing,dribbling,defending,physic
9123,Low,900000.0,5000.0,27,177,75,3,3,80.0,54.0,61.0,68.0,29.0,56.0
12484,Low,525000.0,2000.0,26,184,70,2,2,47.0,34.0,48.0,48.0,62.0,71.0
1715,Good,5500000.0,20000.0,28,167,61,3,3,92.0,64.0,70.0,73.0,30.0,45.0
6287,Great,3300000.0,9000.0,20,185,80,3,3,71.0,57.0,66.0,74.0,63.0,70.0
5920,Medium,1400000.0,5000.0,28,183,75,4,3,70.0,57.0,69.0,69.0,67.0,77.0
236,Great,39500000.0,68000.0,26,184,75,4,3,71.0,78.0,78.0,79.0,78.0,79.0
1468,Good,5500000.0,25000.0,28,191,84,3,3,46.0,63.0,70.0,67.0,76.0,75.0
17642,Low,325000.0,2000.0,21,168,61,3,2,59.0,45.0,56.0,56.0,49.0,53.0
7767,Medium,1000000.0,4000.0,28,187,75,3,2,60.0,27.0,50.0,50.0,65.0,70.0
11523,Low,575000.0,1000.0,30,174,70,3,2,64.0,56.0,66.0,62.0,52.0,70.0
13273,Great,1100000.0,5000.0,19,175,75,3,2,66.0,57.0,61.0,70.0,42.0,48.0
5750,Medium,1100000.0,4000.0,30,188,82,3,2,71.0,30.0,42.0,45.0,69.0,77.0
9842,Low,230000.0,1000.0,34,188,83,3,2,60.0,29.0,50.0,41.0,62.0,73.0
13532,Low,525000.0,2000.0,25,178,79,3,2,55.0,49.0,62.0,57.0,62.0,66.0
339,Great,29500000.0,74000.0,27,180,75,5,4,81.0,75.0,81.0,85.0,70.0,61.0
18314,Medium,250000.0,500.0,18,178,68,2,2,62.0,34.0,48.0,54.0,50.0,59.0
10684,Medium,1000000.0,1000.0,23,189,86,3,2,55.0,46.0,53.0,52.0,64.0,79.0
5983,Good,2200000.0,7000.0,24,191,80,2,3,76.0,52.0,65.0,69.0,65.0,62.0
18667,Low,190000.0,2000.0,20,170,65,3,2,68.0,44.0,50.0,56.0,43.0,45.0
4157,Medium,1500000.0,7000.0,32,174,69,4,3,61.0,65.0,69.0,73.0,57.0,75.0
14384,Medium,900000.0,2000.0,21,182,67,3,2,72.0,53.0,58.0,63.0,48.0,53.0
13303,Low,375000.0,1000.0,32,175,74,3,3,66.0,62.0,59.0,65.0,29.0,51.0
18597,Low,180000.0,800.0,18,188,73,2,2,58.0,26.0,44.0,43.0,51.0,62.0
309,Great,21500000.0,15000.0,31,171,67,4,4,82.0,75.0,79.0,82.0,63.0,69.0
10985,Good,1300000.0,3000.0,24,191,85,3,2,73.0,28.0,46.0,51.0,64.0,71.0
2989,Great,5500000.0,16000.0,23,173,72,3,2,62.0,47.0,58.0,67.0,72.0,80.0
15605,Medium,500000.0,1000.0,20,171,59,3,2,63.0,32.0,55.0,60.0,56.0,51.0
6380,Good,2100000.0,6000.0,23,178,75,3,2,83.0,37.0,53.0,71.0,64.0,67.0
10405,Good,1500000.0,1000.0,23,186,80,3,2,71.0,30.0,49.0,57.0,64.0,68.0
1158,Great,4700000.0,14000.0,33,161,57,4,4,83.0,67.0,76.0,79.0,30.0,37.0
3082,Great,4600000.0,26000.0,24,176,68,3,4,82.0,65.0,67.0,74.0,31.0,47.0
2121,Good,3600000.0,21000.0,29,187,79,3,2,58.0,51.0,62.0,65.0,72.0,79.0
4512,Great,3800000.0,650.0,23,190,81,3,3,72.0,72.0,58.0,69.0,35.0,72.0
2445,Good,600000.0,9000.0,36,185,82,3,3,55.0,63.0,71.0,71.0,72.0,73.0
14663,Medium,725000.0,850.0,22,180,74,2,2,61.0,48.0,59.0,62.0,53.0,61.0
13842,Low,450000.0,850.0,26,186,76,2,2,69.0,34.0,55.0,61.0,59.0,73.0
15753,Great,625000.0,5000.0,19,183,64,4,2,76.0,61.0,51.0,61.0,27.0,49.0
2316,Great,8000000.0,32000.0,24,190,81,3,2,49.0,37.0,59.0,63.0,74.0,79.0
5707,Medium,1400000.0,7000.0,29,181,75,4,3,65.0,63.0,69.0,70.0,64.0,74.0
16979,Great,525000.0,600.0,18,171,67,3,2,80.0,53.0,50.0,61.0,49.0,51.0
6297,Medium,1400000.0,7000.0,28,180,80,4,2,78.0,67.0,61.0,69.0,37.0,71.0
16271,Low,325000.0,850.0,24,175,70,2,2,73.0,36.0,53.0,43.0,54.0,58.0
19117,Low,70000.0,2000.0,23,175,71,2,2,62.0,52.0,39.0,55.0,21.0,35.0
14945,Medium,725000.0,3000.0,21,177,68,2,2,64.0,50.0,60.0,61.0,33.0,50.0
3875,Medium,325000.0,5000.0,36,187,85,3,2,32.0,46.0,54.0,51.0,71.0,82.0
1736,Great,9000000.0,42000.0,24,173,70,3,3,77.0,78.0,75.0,75.0,45.0,56.0
5893,Medium,1700000.0,5000.0,26,166,71,4,3,88.0,67.0,59.0,75.0,33.0,69.0
3403,Good,1500000.0,17000.0,33,186,75,3,2,72.0,75.0,58.0,63.0,33.0,76.0
11092,Low,350000.0,2000.0,33,170,65,3,3,72.0,62.0,63.0,71.0,53.0,60.0
15403,Good,600000.0,3000.0,21,178,77,3,2,66.0,51.0,59.0,64.0,54.0,69.0
9191,Medium,1300000.0,2000.0,24,188,83,3,2,64.0,60.0,63.0,63.0,62.0,76.0
16368,Medium,450000.0,1000.0,20,179,72,3,2,56.0,30.0,36.0,41.0,60.0,61.0
10501,Good,1300000.0,1000.0,24,190,83,3,2,51.0,25.0,40.0,42.0,63.0,74.0
13616,Low,575000.0,4000.0,25,180,75,4,3,67.0,62.0,63.0,64.0,57.0,60.0
1663,Good,5500000.0,48000.0,28,174,74,4,4,80.0,70.0,73.0,77.0,70.0,76.0
3961,Medium,1500000.0,800.0,30,181,69,3,2,66.0,41.0,58.0,62.0,70.0,76.0
5872,Medium,675000.0,8000.0,33,182,77,3,2,43.0,32.0,53.0,58.0,71.0,72.0
16778,Good,500000.0,500.0,18,180,70,2,2,69.0,35.0,47.0,50.0,57.0,59.0
15864,Good,575000.0,500.0,19,183,77,3,2,71.0,49.0,59.0,61.0,47.0,58.0
2373,Great,7000000.0,14000.0,22,171,62,3,4,84.0,65.0,72.0,77.0,49.0,50.0
6614,Medium,1200000.0,2000.0,28,196,91,2,2,43.0,47.0,49.0,40.0,68.0,81.0
8291,Medium,1200000.0,4000.0,26,171,64,3,3,81.0,66.0,56.0,68.0,21.0,60.0
12189,Good,1200000.0,1000.0,22,176,70,3,3,69.0,65.0,63.0,65.0,62.0,58.0
17564,Medium,325000.0,500.0,20,189,81,3,2,62.0,38.0,47.0,54.0,55.0,70.0
11244,Low,500000.0,2000.0,30,182,69,4,3,78.0,55.0,59.0,65.0,61.0,65.0
9676,Great,1800000.0,2000.0,22,176,68,2,2,79.0,47.0,55.0,61.0,59.0,64.0
15123,Medium,675000.0,950.0,20,186,75,3,2,71.0,33.0,46.0,47.0,61.0,60.0
8134,Good,1500000.0,5000.0,23,183,78,3,2,79.0,38.0,47.0,59.0,65.0,73.0
1955,Great,11500000.0,21000.0,21,175,61,3,3,74.0,65.0,71.0,79.0,72.0,72.0
3695,Great,4700000.0,12000.0,23,182,72,3,4,83.0,69.0,68.0,72.0,43.0,67.0
5319,Great,3600000.0,8000.0,22,179,71,3,3,69.0,64.0,69.0,73.0,57.0,62.0
9815,Low,230000.0,2000.0,34,183,82,3,2,65.0,46.0,54.0,56.0,62.0,78.0
2793,Good,3200000.0,19000.0,27,175,68,4,3,79.0,67.0,69.0,75.0,32.0,49.0
3526,Good,3100000.0,13000.0,25,178,74,3,3,83.0,67.0,66.0,75.0,52.0,67.0
2558,Good,2500000.0,22000.0,32,184,80,4,3,55.0,76.0,61.0,72.0,33.0,64.0
3298,Good,1900000.0,39000.0,31,173,68,1,3,64.0,66.0,75.0,73.0,66.0,76.0
16110,Low,350000.0,2000.0,23,166,63,3,2,81.0,63.0,52.0,59.0,27.0,51.0
4372,Medium,1300000.0,5000.0,31,183,74,3,2,71.0,54.0,61.0,67.0,71.0,78.0
2514,Good,2100000.0,20000.0,31,177,76,2,2,65.0,41.0,63.0,66.0,75.0,71.0
9884,Low,375000.0,8000.0,33,184,69,2,2,65.0,45.0,55.0,62.0,63.0,71.0
11344,Low,575000.0,5000.0,29,172,64,4,3,83.0,59.0,55.0,64.0,44.0,55.0
7718,Medium,1300000.0,2000.0,26,184,77,2,2,68.0,33.0,50.0,56.0,65.0,75.0
11416,Medium,800000.0,1000.0,25,180,75,4,3,64.0,59.0,65.0,64.0,54.0,66.0
5557,Medium,950000.0,8000.0,31,185,79,2,2,49.0,47.0,54.0,50.0,69.0,76.0
17659,Good,350000.0,500.0,18,175,65,3,2,58.0,48.0,48.0,54.0,54.0,53.0
3803,Great,5500000.0,23000.0,20,186,75,3,3,71.0,67.0,70.0,71.0,43.0,52.0
4424,Great,4000000.0,11000.0,22,181,71,4,3,82.0,52.0,65.0,70.0,64.0,67.0
15033,Medium,725000.0,500.0,20,175,72,3,3,62.0,55.0,58.0,60.0,57.0,57.0
11142,Low,100000.0,1000.0,36,179,73,3,2,57.0,26.0,38.0,48.0,64.0,65.0
17319,Medium,375000.0,500.0,21,170,72,3,2,68.0,33.0,48.0,51.0,54.0,55.0
3104,Good,1200000.0,6000.0,33,188,79,3,2,47.0,60.0,72.0,69.0,67.0,73.0
14458,Low,325000.0,7000.0,30,182,72,3,2,66.0,58.0,47.0,61.0,24.0,73.0
7796,Low,475000.0,4000.0,34,173,65,2,3,73.0,61.0,68.0,70.0,35.0,46.0
10005,Low,725000.0,2000.0,28,180,75,3,3,62.0,58.0,65.0,67.0,47.0,59.0
2038,Good,4100000.0,17000.0,30,182,80,3,4,69.0,75.0,60.0,72.0,29.0,60.0
2701,Good,3300000.0,19000.0,26,185,76,2,2,73.0,30.0,52.0,62.0,74.0,76.0
19204,Low,100000.0,2000.0,21,176,69,3,2,62.0,37.0,39.0,47.0,47.0,52.0
910,Great,7000000.0,56000.0,31,188,77,2,2,51.0,47.0,59.0,57.0,79.0,76.0
16794,Good,450000.0,950.0,20,187,77,3,2,65.0,29.0,35.0,39.0,60.0,62.0
9423,Great,1900000.0,5000.0,21,162,60,3,3,71.0,62.0,62.0,71.0,33.0,39.0
6623,Medium,1400000.0,7000.0,27,198,91,3,3,54.0,69.0,55.0,62.0,33.0,76.0
4965,Good,2400000.0,10000.0,25,182,90,3,3,72.0,68.0,64.0,73.0,35.0,62.0
11628,Medium,950000.0,4000.0,22,168,63,3,3,79.0,58.0,62.0,67.0,27.0,36.0
4762,Medium,1500000.0,4000.0,28,188,88,2,3,66.0,44.0,50.0,52.0,68.0,84.0
16841,Low,450000.0,800.0,23,183,79,3,2,74.0,56.0,47.0,59.0,28.0,55.0
498,Great,44500000.0,77000.0,22,190,75,3,2,65.0,33.0,65.0,69.0,82.0,80.0
3382,Good,2500000.0,9000.0,27,183,77,2,4,54.0,72.0,74.0,75.0,34.0,68.0
11774,Good,1300000.0,750.0,21,183,73,3,2,79.0,50.0,61.0,62.0,58.0,54.0
15081,Medium,700000.0,2000.0,22,171,72,3,2,71.0,38.0,52.0,60.0,55.0,59.0
9670,Medium,975000.0,4000.0,26,185,70,3,2,69.0,51.0,59.0,63.0,63.0,66.0
657,Great,33000000.0,42000.0,21,190,88,2,2,88.0,33.0,56.0,65.0,80.0,77.0
3609,Good,2700000.0,700.0,27,184,79,3,2,65.0,68.0,73.0,73.0,63.0,70.0
3429,Good,2800000.0,19000.0,26,188,76,3,3,77.0,60.0,64.0,70.0,69.0,83.0
18312,Low,240000.0,1000.0,20,185,75,3,2,75.0,54.0,46.0,56.0,26.0,44.0
18595,Medium,210000.0,850.0,19,164,56,2,2,75.0,30.0,41.0,53.0,48.0,37.0
8464,Low,700000.0,3000.0,31,180,71,3,2,60.0,34.0,47.0,48.0,69.0,75.0
15532,Good,575000.0,550.0,20,168,63,3,2,60.0,29.0,50.0,60.0,59.0,57.0
16892,Medium,450000.0,500.0,19,186,79,3,2,55.0,24.0,42.0,36.0,58.0,66.0
2571,Good,3000000.0,22000.0,29,185,80,3,4,56.0,75.0,67.0,71.0,38.0,71.0
16456,Good,550000.0,1000.0,21,182,73,4,2,62.0,60.0,44.0,58.0,24.0,50.0
13331,Great,1300000.0,500.0,16,172,68,3,2,64.0,32.0,54.0,64.0,58.0,51.0
8884,Low,875000.0,3000.0,28,181,74,3,3,72.0,66.0,59.0,65.0,32.0,71.0
13803,Medium,900000.0,4000.0,22,174,77,3,3,69.0,40.0,60.0,66.0,57.0,61.0
10289,Good,1400000.0,1000.0,23,178,68,3,3,77.0,58.0,62.0,71.0,50.0,63.0
6059,Good,2200000.0,10000.0,23,184,68,3,3,86.0,63.0,60.0,70.0,26.0,50.0
9240,Medium,1100000.0,3000.0,25,186,79,3,2,71.0,66.0,43.0,66.0,29.0,69.0
4403,Good,2600000.0,700.0,24,182,71,4,4,85.0,71.0,63.0,70.0,20.0,56.0
6118,Medium,1200000.0,5000.0,29,171,69,2,2,82.0,47.0,63.0,65.0,62.0,71.0
10118,Low,500000.0,5000.0,31,178,76,2,2,57.0,56.0,67.0,65.0,59.0,66.0
14742,Medium,625000.0,1000.0,24,183,79,3,2,58.0,26.0,48.0,56.0,62.0,63.0
3431,Good,3100000.0,1000.0,25,175,73,3,3,75.0,68.0,72.0,73.0,52.0,68.0
12748,Medium,900000.0,2000.0,24,180,74,3,3,77.0,58.0,59.0,65.0,57.0,60.0
17882,Medium,300000.0,1000.0,19,181,74,3,2,58.0,46.0,52.0,58.0,52.0,57.0
18278,Good,275000.0,550.0,18,174,70,3,2,72.0,48.0,46.0,57.0,27.0,50.0
14769,Good,800000.0,4000.0,20,191,77,3,2,74.0,59.0,52.0,64.0,26.0,59.0
6248,Medium,1400000.0,7000.0,28,176,65,3,3,70.0,66.0,66.0,68.0,55.0,66.0
4566,Great,4500000.0,45000.0,19,185,82,4,4,77.0,68.0,64.0,75.0,43.0,65.0
3860,Medium,650000.0,5000.0,34,175,68,3,3,44.0,54.0,67.0,67.0,68.0,74.0
118,Great,50500000.0,180000.0,25,180,81,3,4,80.0,76.0,83.0,88.0,46.0,64.0
10657,Medium,1100000.0,3000.0,24,188,86,3,2,64.0,27.0,51.0,48.0,63.0,76.0
10975,Good,1600000.0,500.0,21,167,64,3,3,67.0,61.0,59.0,66.0,49.0,57.0
5352,Good,1800000.0,7000.0,26,189,84,3,2,66.0,52.0,58.0,61.0,71.0,74.0
5602,Medium,675000.0,22000.0,33,186,80,3,2,57.0,43.0,67.0,68.0,70.0,69.0
1064,Great,11500000.0,15000.0,26,165,67,4,4,86.0,71.0,71.0,83.0,37.0,46.0
6594,Medium,1200000.0,13000.0,28,183,78,3,3,72.0,68.0,59.0,66.0,29.0,72.0
6227,Medium,1300000.0,500.0,29,190,83,3,2,61.0,24.0,55.0,50.0,70.0,71.0
5034,Good,2400000.0,5000.0,24,169,66,3,3,68.0,63.0,68.0,73.0,38.0,50.0
16058,Low,300000.0,3000.0,25,184,68,3,2,53.0,45.0,56.0,57.0,57.0,62.0
62,Great,71500000.0,185000.0,27,182,74,4,4,85.0,71.0,83.0,84.0,80.0,72.0
11390,Low,675000.0,10000.0,27,192,78,2,2,58.0,45.0,51.0,55.0,62.0,75.0
445,Great,24500000.0,59000.0,27,181,78,4,3,77.0,78.0,76.0,78.0,40.0,82.0
3185,Good,2000000.0,9000.0,30,186,82,3,2,78.0,56.0,61.0,62.0,72.0,81.0
17017,Low,170000.0,2000.0,28,177,73,3,3,68.0,50.0,53.0,61.0,29.0,41.0
7184,Great,2600000.0,2000.0,23,188,79,3,3,77.0,56.0,60.0,64.0,62.0,73.0
12374,Low,425000.0,2000.0,28,188,86,2,2,78.0,38.0,47.0,56.0,61.0,67.0
9298,Good,1400000.0,3000.0,22,175,65,3,3,84.0,61.0,57.0,67.0,29.0,56.0
15494,Medium,550000.0,1000.0,20,174,65,2,3,85.0,51.0,55.0,59.0,25.0,40.0
18798,Low,100000.0,500.0,26,170,62,3,2,61.0,43.0,50.0,54.0,48.0,51.0
9937,Low,700000.0,3000.0,29,182,78,2,3,63.0,63.0,64.0,67.0,59.0,70.0
12460,Low,500000.0,2000.0,27,178,81,3,2,35.0,47.0,56.0,61.0,60.0,70.0
6805,Medium,1000000.0,1000.0,29,181,79,3,2,61.0,28.0,49.0,56.0,67.0,75.0
18261,Low,110000.0,500.0,27,175,65,3,2,66.0,32.0,43.0,50.0,50.0,59.0
14643,Low,475000.0,1000.0,25,187,74,3,2,69.0,62.0,45.0,58.0,41.0,57.0
15883,Good,525000.0,800.0,18,176,70,3,2,76.0,31.0,44.0,51.0,60.0,58.0
12512,Medium,650000.0,500.0,25,178,73,2,2,73.0,41.0,55.0,63.0,57.0,63.0
13446,Low,325000.0,2000.0,30,175,75,3,2,62.0,59.0,60.0,62.0,61.0,65.0
7645,Low,900000.0,5000.0,29,178,79,3,3,68.0,56.0,61.0,65.0,63.0,65.0
18245,Low,210000.0,2000.0,20,185,73,3,2,62.0,44.0,54.0,58.0,40.0,56.0
9171,Good,1300000.0,3000.0,24,177,63,3,2,85.0,46.0,55.0,64.0,58.0,71.0
2039,Good,2900000.0,20000.0,31,183,77,2,2,64.0,54.0,65.0,67.0,74.0,75.0
5587,Medium,650000.0,6000.0,34,178,73,3,3,68.0,69.0,67.0,72.0,46.0,70.0
13603,Low,500000.0,1000.0,26,188,88,2,2,54.0,60.0,40.0,51.0,29.0,73.0
17439,Low,140000.0,550.0,29,170,70,3,3,72.0,54.0,54.0,60.0,28.0,61.0
3511,Great,3000000.0,18000.0,25,173,72,3,3,67.0,60.0,68.0,70.0,68.0,68.0
8909,Medium,1100000.0,3000.0,25,163,66,4,3,83.0,62.0,57.0,68.0,23.0,55.0
3334,Good,2100000.0,18000.0,28,182,74,2,2,75.0,45.0,57.0,62.0,71.0,66.0
13146,Medium,975000.0,2000.0,23,184,80,3,2,63.0,64.0,49.0,62.0,26.0,62.0
17899,Low,275000.0,500.0,19,184,74,3,2,62.0,35.0,46.0,55.0,54.0,57.0
7735,Low,1100000.0,12000.0,26,167,68,3,3,90.0,63.0,60.0,67.0,44.0,64.0
6767,Medium,1200000.0,5000.0,28,177,74,2,2,68.0,53.0,60.0,64.0,65.0,73.0
5880,Medium,1600000.0,20000.0,25,176,70,2,3,82.0,59.0,65.0,73.0,62.0,60.0
9532,Great,1800000.0,3000.0,20,190,87,3,2,48.0,29.0,43.0,46.0,66.0,75.0
11926,Good,1200000.0,3000.0,20,173,65,4,3,74.0,47.0,59.0,65.0,59.0,59.0
6498,Medium,1000000.0,7000.0,30,185,75,3,2,67.0,51.0,64.0,61.0,65.0,69.0
17388,Low,325000.0,2000.0,21,178,72,3,2,75.0,51.0,50.0,60.0,24.0,49.0
13987,Medium,825000.0,1000.0,24,187,75,2,2,59.0,38.0,52.0,56.0,60.0,68.0
8029,Low,1100000.0,4000.0,21,183,76,3,2,62.0,52.0,59.0,56.0,69.0,72.0
11458,Medium,1100000.0,950.0,24,187,77,2,2,54.0,36.0,47.0,49.0,63.0,72.0
3437,Good,1900000.0,19000.0,30,190,84,3,2,55.0,42.0,55.0,54.0,73.0,72.0
9181,Low,725000.0,700.0,30,186,78,2,2,67.0,42.0,52.0,58.0,65.0,66.0
13884,Good,900000.0,1000.0,21,182,75,3,3,76.0,57.0,61.0,66.0,50.0,65.0
8963,Low,1000000.0,4000.0,26,173,68,3,3,91.0,58.0,57.0,65.0,56.0,61.0
18259,Good,250000.0,600.0,18,181,69,1,2,66.0,27.0,45.0,52.0,50.0,47.0
1225,Great,6500000.0,23000.0,29,188,83,3,2,71.0,58.0,65.0,64.0,79.0,75.0
9250,Medium,1200000.0,2000.0,24,185,81,3,2,67.0,36.0,49.0,55.0,64.0,77.0
4255,Good,2500000.0,19000.0,25,182,75,4,4,79.0,62.0,66.0,73.0,40.0,61.0
1634,Good,5500000.0,9000.0,30,171,71,3,3,71.0,63.0,77.0,75.0,64.0,69.0
12350,Low,400000.0,850.0,30,193,86,3,2,62.0,42.0,57.0,54.0,63.0,69.0
14713,Medium,700000.0,3000.0,22,188,80,3,2,46.0,30.0,42.0,46.0,61.0,64.0
1778,Great,7000000.0,82000.0,24,184,79,3,2,68.0,42.0,57.0,64.0,76.0,68.0
9531,Good,1800000.0,4000.0,22,185,77,3,3,63.0,49.0,67.0,62.0,62.0,75.0
1302,Great,7500000.0,14000.0,27,167,70,2,3,74.0,64.0,73.0,75.0,73.0,73.0
2079,Good,4400000.0,41000.0,27,173,75,4,3,78.0,64.0,69.0,69.0,69.0,75.0
7490,Low,325000.0,5000.0,34,188,87,3,2,50.0,31.0,58.0,58.0,67.0,71.0
2069,Good,3500000.0,950.0,31,178,80,3,4,75.0,72.0,68.0,78.0,32.0,66.0
1844,Great,7500000.0,40000.0,24,175,72,3,3,88.0,70.0,66.0,76.0,37.0,67.0
8775,Low,725000.0,12000.0,31,198,94,3,2,50.0,65.0,53.0,55.0,32.0,77.0
14271,Medium,875000.0,500.0,20,175,72,3,2,65.0,57.0,59.0,61.0,54.0,60.0
13814,Medium,625000.0,2000.0,24,175,66,3,2,68.0,54.0,57.0,65.0,58.0,61.0
14931,Medium,625000.0,1000.0,22,183,78,3,2,62.0,36.0,46.0,51.0,62.0,63.0
17788,Medium,325000.0,500.0,18,178,77,3,2,68.0,53.0,51.0,54.0,26.0,55.0
8737,Low,550000.0,4000.0,33,181,73,4,2,62.0,67.0,58.0,64.0,28.0,70.0
4579,Great,4000000.0,30000.0,22,187,70,3,2,70.0,55.0,68.0,68.0,66.0,68.0
4624,Medium,275000.0,10000.0,36,190,86,3,2,35.0,28.0,41.0,52.0,71.0,72.0
17717,Low,300000.0,700.0,21,180,70,2,2,50.0,27.0,49.0,41.0,56.0,63.0
13370,Low,700000.0,500.0,22,186,78,3,3,66.0,58.0,62.0,62.0,60.0,62.0
6689,Medium,1000000.0,4000.0,31,183,76,3,3,70.0,45.0,68.0,65.0,66.0,76.0
10843,Great,1800000.0,500.0,21,187,84,4,2,66.0,68.0,49.0,61.0,21.0,66.0
920,Great,7000000.0,43000.0,32,174,74,2,3,64.0,55.0,67.0,72.0,73.0,77.0
8936,Low,900000.0,9000.0,27,180,74,3,2,67.0,34.0,56.0,61.0,63.0,72.0
12215,Medium,850000.0,3000.0,23,170,70,3,2,77.0,51.0,55.0,70.0,33.0,57.0
3689,Good,2800000.0,19000.0,26,188,82,3,3,69.0,65.0,70.0,71.0,59.0,77.0
5931,Good,2000000.0,6000.0,24,175,65,3,3,77.0,54.0,70.0,75.0,51.0,57.0
2746,Good,3600000.0,8000.0,26,168,66,3,3,81.0,67.0,67.0,73.0,57.0,75.0
11331,Low,575000.0,2000.0,29,178,69,4,3,66.0,57.0,68.0,63.0,55.0,61.0
7164,Medium,1600000.0,7000.0,24,177,68,4,3,82.0,57.0,68.0,71.0,66.0,68.0
7079,Good,2400000.0,2000.0,23,185,81,3,3,62.0,50.0,67.0,70.0,55.0,70.0
11661,Good,1300000.0,2000.0,21,176,65,3,3,78.0,58.0,55.0,71.0,24.0,41.0
10261,Medium,950000.0,2000.0,26,191,78,3,2,64.0,63.0,47.0,55.0,27.0,67.0
12475,Low,575000.0,2000.0,25,191,74,2,2,67.0,46.0,53.0,57.0,60.0,76.0
1802,Great,5000000.0,17000.0,29,192,86,3,2,69.0,46.0,53.0,65.0,75.0,80.0
13013,Great,1100000.0,950.0,19,190,76,3,2,73.0,31.0,50.0,52.0,64.0,63.0
9737,Good,1900000.0,3000.0,21,173,70,3,2,80.0,54.0,59.0,72.0,40.0,50.0
8595,Great,2100000.0,6000.0,20,192,87,3,2,52.0,28.0,42.0,49.0,68.0,72.0
11101,Low,375000.0,750.0,33,182,78,4,3,74.0,58.0,60.0,68.0,22.0,62.0
1365,Great,14000000.0,10000.0,24,179,67,5,3,53.0,70.0,71.0,74.0,71.0,61.0
1058,Great,21500000.0,26000.0,24,191,87,3,3,72.0,79.0,64.0,71.0,45.0,76.0
9381,Low,975000.0,4000.0,27,162,62,3,2,75.0,55.0,65.0,70.0,60.0,58.0
13970,Low,525000.0,500.0,25,173,67,3,2,73.0,59.0,57.0,63.0,24.0,48.0
16498,Good,525000.0,500.0,19,181,77,3,3,71.0,56.0,58.0,58.0,47.0,56.0
6249,Great,3400000.0,8000.0,20,169,63,5,3,80.0,66.0,63.0,73.0,26.0,50.0
4247,Medium,1800000.0,10000.0,30,189,88,4,2,67.0,69.0,48.0,69.0,34.0,75.0
6383,Great,3100000.0,4000.0,22,178,72,3,4,83.0,65.0,67.0,69.0,44.0,61.0
12285,Low,375000.0,1000.0,32,180,75,4,3,62.0,44.0,61.0,61.0,60.0,72.0
428,Great,20500000.0,58000.0,29,180,80,3,4,69.0,71.0,77.0,78.0,75.0,73.0
3759,Great,3300000.0,10000.0,22,169,65,4,3,72.0,60.0,68.0,70.0,69.0,74.0
5327,Great,3600000.0,15000.0,22,175,70,3,3,80.0,63.0,66.0,70.0,37.0,53.0
3191,Good,2000000.0,13000.0,31,190,78,3,2,52.0,72.0,54.0,66.0,33.0,81.0
17032,Low,350000.0,2000.0,23,165,66,3,2,72.0,40.0,52.0,57.0,52.0,58.0
9090,Low,800000.0,4000.0,28,187,83,3,2,57.0,37.0,53.0,56.0,66.0,72.0
6761,Medium,1200000.0,3000.0,27,185,79,2,2,56.0,31.0,53.0,50.0,67.0,77.0
2548,Great,6000000.0,20000.0,23,184,87,3,3,75.0,72.0,55.0,68.0,39.0,81.0
10927,Medium,900000.0,2000.0,24,172,69,2,2,75.0,44.0,57.0,49.0,60.0,64.0
4719,Medium,1600000.0,9000.0,29,183,64,2,3,45.0,68.0,75.0,70.0,47.0,67.0
1927,Great,8000000.0,54000.0,20,182,63,3,3,80.0,57.0,65.0,73.0,70.0,68.0
18910,Low,130000.0,850.0,20,180,73,3,2,61.0,35.0,41.0,45.0,52.0,55.0
7719,Low,950000.0,5000.0,27,181,73,3,3,65.0,53.0,60.0,66.0,66.0,69.0
4823,Medium,1500000.0,6000.0,30,175,70,4,3,84.0,61.0,69.0,73.0,63.0,73.0
3152,Good,1900000.0,4000.0,32,184,73,4,3,63.0,74.0,51.0,69.0,25.0,62.0
7179,Good,1800000.0,500.0,23,173,69,4,3,72.0,40.0,61.0,66.0,65.0,56.0
879,Great,8500000.0,15000.0,32,180,76,4,4,68.0,69.0,77.0,84.0,65.0,74.0
464,Great,26500000.0,67000.0,25,187,88,3,2,85.0,51.0,64.0,71.0,82.0,77.0
11895,Low,700000.0,2000.0,26,178,82,4,3,87.0,62.0,56.0,65.0,21.0,55.0
4754,Medium,1200000.0,6000.0,31,177,70,3,3,64.0,64.0,72.0,67.0,68.0,63.0
15555,Low,475000.0,500.0,22,181,70,2,2,62.0,38.0,50.0,49.0,58.0,55.0
9251,Great,1800000.0,15000.0,22,176,70,3,3,88.0,59.0,57.0,70.0,60.0,62.0
9267,Medium,975000.0,4000.0,25,185,70,3,2,68.0,63.0,55.0,63.0,67.0,61.0
11839,Great,1400000.0,7000.0,21,178,76,3,2,61.0,57.0,64.0,65.0,60.0,64.0
1630,Great,6500000.0,19000.0,27,181,70,4,3,70.0,74.0,74.0,75.0,65.0,66.0
18997,Low,130000.0,800.0,19,170,67,2,2,63.0,43.0,47.0,55.0,29.0,43.0
982,Great,15000000.0,46000.0,25,187,82,3,3,71.0,77.0,66.0,75.0,38.0,76.0
17470,Low,140000.0,900.0,27,185,76,2,2,52.0,23.0,29.0,28.0,58.0,62.0
5478,Medium,475000.0,4000.0,36,188,85,3,3,52.0,71.0,63.0,66.0,29.0,71.0
17285,Medium,375000.0,2000.0,20,183,67,3,2,67.0,25.0,43.0,49.0,56.0,49.0
9988,Low,700000.0,7000.0,29,186,73,3,3,73.0,63.0,60.0,67.0,39.0,60.0
